event_id,event_name,phase,vehicle_type,parking_lot_id,assigned_capacity
90,OPTI München,assembly,cars,4,600
90,OPTI München,assembly,busses,4,90
90,OPTI München,assembly,trucks,4,208
90,OPTI München,assembly,trucks,5,232
90,OPTI München,runtime,cars,4,900
90,OPTI München,runtime,cars,5,1500
90,OPTI München,runtime,cars,16,720
90,OPTI München,runtime,busses,16,180
90,OPTI München,runtime,trucks,16,228
90,OPTI München,runtime,trucks,14,12
90,OPTI München,disassembly,cars,4,580
90,OPTI München,disassembly,busses,4,90
90,OPTI München,disassembly,trucks,4,228
90,OPTI München,disassembly,trucks,5,212
91,Evakuierungshalle Flüchtende,assembly,cars,1,190
91,Evakuierungshalle Flüchtende,assembly,busses,1,30
91,Evakuierungshalle Flüchtende,assembly,trucks,1,40
91,Evakuierungshalle Flüchtende,assembly,trucks,2,120
91,Evakuierungshalle Flüchtende,runtime,cars,1,260
91,Evakuierungshalle Flüchtende,runtime,cars,2,170
91,Evakuierungshalle Flüchtende,runtime,busses,2,30
91,Evakuierungshalle Flüchtende,runtime,trucks,2,40
91,Evakuierungshalle Flüchtende,disassembly,cars,1,160
91,Evakuierungshalle Flüchtende,disassembly,busses,1,30
91,Evakuierungshalle Flüchtende,disassembly,trucks,1,68
91,Evakuierungshalle Flüchtende,disassembly,trucks,2,52
92,f.re.e,assembly,cars,1,260
92,f.re.e,assembly,cars,2,675
92,f.re.e,assembly,cars,12,100
92,f.re.e,assembly,cars,11,225
92,f.re.e,assembly,cars,4,900
92,f.re.e,assembly,cars,3,340
92,f.re.e,assembly,busses,3,309
92,f.re.e,assembly,busses,13,48
92,f.re.e,assembly,busses,14,63
92,f.re.e,assembly,trucks,14,1036
92,f.re.e,assembly,trucks,15,844
92,f.re.e,runtime,cars,1,260
92,f.re.e,runtime,cars,2,675
92,f.re.e,runtime,cars,12,100
92,f.re.e,runtime,cars,11,225
92,f.re.e,runtime,cars,4,900
92,f.re.e,runtime,cars,3,650
92,f.re.e,runtime,cars,13,50
92,f.re.e,runtime,cars,14,1100
92,f.re.e,runtime,cars,15,900
92,f.re.e,runtime,cars,16,70
92,f.re.e,runtime,busses,16,270
92,f.re.e,runtime,trucks,16,400
